,IMB211_DP_REP1,IMB211_DP_REP2,IMB211_DP_REP3,IMB211_NDP_REP1,IMB211_NDP_REP2,IMB211_NDP_REP3,R500_DP_REP1,R500_DP_REP2,R500_DP_REP3,R500_NDP_REP1,R500_NDP_REP2,R500_NDP_REP3
Bra010821,NA,NA,4,221,100,218,502,506,525,384,536,510
Bra033034,1763,457,1382,130,208,474,10,7,11,44,37,38
Bra035334,354,165,460,8,18,22,19,38,22,14,15,20
Bra003598,91,29,38,NA,3,2,141,122,82,87,72,91
Bra016182,5,NA,1,134,79,25,532,354,2948,196,248,158
Bra013164,104,62,162,3611,1008,2285,3072,5796,6106,3012,6106,3609
Bra009406,NA,NA,5,302,43,86,796,494,1288,620,814,771
Bra033856,334,232,419,39,48,71,140,356,195,220,205,228
Bra011196,6,NA,2,30,12,24,176,94,118,34,28,12
Bra041036,1948,969,1949,62,160,168,216,240,176,94,123,128
Bra011170,3,1,1,46,22,18,42,12,46,7,2,1
Bra037664,170,66,165,11,15,30,55,46,30,23,43,44
Bra002697,20,12,22,72,54,82,382,316,211,126,159,102
Bra025547,886,150,702,42,44,90,163,166,101,110,59,182
Bra016316,96,37,117,16,6,7,26,24,14,18,28,15
Bra019741,54,17,50,1120,384,478,1042,1396,2110,1208,2402,1812
Bra020500,8,3,68,1294,558,856,4118,4106,8165,3995,5259,5740
Bra005176,NA,NA,4,134,35,24,434,487,980,235,772,459
Bra036334,326,69,342,3654,1088,2068,3676,2214,3200,2260,1719,2197
Bra013340,133,74,168,38,23,48,131,164,116,114,138,126
Bra011670,370,132,382,66,66,91,110,160,112,96,86,83
Bra038908,NA,NA,NA,52,3,30,376,309,602,377,575,526
Bra027181,392,72,328,2522,934,1660,1774,1759,1677,1240,1812,1318
Bra018722,214,56,205,20,24,29,47,30,43,17,38,31
Bra002896,100,28,74,154,104,266,115,84,102,28,48,38
Bra010292,418,76,646,432,474,1608,220,122,150,20,33,18
Bra021913,58,32,84,2,6,7,8,12,11,6,14,10
Bra011195,43,8,38,71,60,70,444,364,414,178,166,138
Bra007907_Bra007908_Bra007909,419,110,183,43,47,34,54,76,63,41,68,41
Bra027700,113,19,66,19,16,15,26,22,12,34,26,46
Bra036607,204,84,192,13,30,15,40,142,54,46,112,61
Bra002515,29,34,50,4,6,5,64,86,54,46,154,70
Bra031658,12,2,10,25,16,24,125,109,142,40,33,32
Bra004810,5108,2291,5504,315,608,906,1092,968,796,583,767,605
Bra005070,242,34,112,8,18,14,50,55,20,42,32,36
Bra035502,44,5,76,236,136,194,833,559,1048,388,562,495
Bra004892,315,70,278,760,490,674,574,715,663,394,482,420
Bra018386,76,25,76,17,22,26,56,65,95,132,90,268
Bra040840,2,0,2,21,11,10,108,98,104,54,70,56
Bra024269,12,1,6,106,57,38,1,5,87,1,NA,1
Bra040801,416,112,368,127,126,176,36,37,43,36,60,50
Bra017219,2480,1277,3263,56,173,220,273,348,198,86,110,94
Bra022378,74,12,33,2,6,4,26,35,38,20,36,26
Bra006092,180,25,222,134,84,148,46,6,14,NA,NA,NA
Bra032375,14,1,18,98,34,46,104,54,136,29,52,38
Bra024197,371,138,410,31,47,96,31,33,20,16,28,22
Bra023827,102,50,142,8,11,30,19,24,24,20,19,20
Bra021506,444,116,472,1064,672,884,692,568,682,316,414,323
Bra036155,39,5,134,1196,388,603,1003,538,1230,485,767,697
Bra013676_Bra013677,310,44,274,38,50,46,74,79,43,106,48,96
Bra036852,1,NA,NA,26,4,10,75,90,74,48,77,54
Bra005071,142,32,80,10,11,4,38,44,12,24,21,28
Bra014819,4,2,11,118,28,58,836,858,901,719,1209,928
Bra013682,34,10,22,NA,2,2,38,29,33,18,28,20
Bra013628,160,74,220,39,46,96,74,125,76,83,138,128
Bra037283,642,117,807,82,101,136,42,66,41,90,28,63
Bra016610,57,12,16,2,2,2,18,21,16,16,16,18
Bra011606,311,178,350,156,88,144,254,512,226,340,552,468
Bra004130,114,17,90,17,12,22,30,30,20,24,26,32
Bra036217,319,202,334,22,34,70,72,128,45,42,60,49
Bra015896,588,181,574,218,138,241,178,188,128,155,156,193
Bra022342,150,97,198,8,21,64,1,2,1,1,14,5
Bra005227,274,64,250,88,64,146,17,7,4,22,17,28
Bra031068,3,2,13,71,18,58,74,74,53,29,62,36
Bra006273,3,3,9,295,36,92,335,538,565,305,960,540
Bra020646,2298,208,2362,1564,2179,3806,280,137,102,26,12,6
Bra017113,39,24,96,644,178,564,1464,487,1363,520,928,766
Bra034676,200,32,158,6,22,36,12,24,17,27,16,20
Bra006683,376,162,738,77,120,156,182,218,95,130,284,154
Bra025028,107,48,93,30,73,80,94,156,116,252,268,389
Bra024102,56,3,44,30,28,72,44,40,26,2,6,1
Bra003687,47,17,50,391,178,241,1281,792,796,1087,964,890
Bra011132,373,124,386,163,148,180,168,189,155,148,210,204
Bra030671,509,208,425,22,70,116,30,44,25,30,32,22
Bra035634,2452,412,2448,1022,1932,5172,586,81,208,22,22,12
Bra015961,82,11,68,10,12,24,24,20,12,29,25,34
Bra023460,71,32,96,310,176,414,587,514,322,341,468,408
Bra029614,29,7,112,656,217,504,592,358,698,293,614,474
Bra009136,NA,NA,2,11,5,8,16,10,21,3,4,5
Bra012492,28,2,34,204,65,114,171,290,200,136,268,220
Bra003126,228,214,242,18,41,46,132,132,90,72,73,72
Bra008302,1,1,1,13,8,4,75,18,90,8,13,10
Bra006291,36,13,27,485,112,118,66,115,190,48,134,71
Bra030155,50,49,139,396,242,648,1132,658,982,444,706,542
Bra000111,102,20,94,466,278,334,1146,984,1405,998,1446,1359
Bra007141,2,9,8,49,28,34,850,624,914,408,720,573
Bra004735,2,NA,NA,29,7,17,70,36,66,46,42,58
Bra008561,38,13,62,251,97,342,6,6,11,3,5,1
Bra011759,8,14,30,428,169,270,374,897,2983,749,916,1075
Bra017474,314,158,188,3,32,19,14,28,16,15,14,9
