	NLM2	NEM2	MB2	NEB1	NEM1	MM1	IB1	IB2	IM2	IM1	NLB2	NEB2	IE2	NEE2	NEE1	MB1	NLE2	NLM1	MM2	NLE1	ME2	NLB1	ME1	IE1
NLM2	0.0	0.248505169932	0.301210944778	0.267863619307	0.202359175025	0.193808044104	0.27558451903	0.301297027933	0.172132461988	0.190771208406	0.260739765546	0.290042831185	0.291964060767	0.301323160687	0.294910826133	0.28977849829	0.289346569343	0.179198485467	0.235160568152	0.281691438008	0.307468732888	0.271056643129	0.304909320288	0.263171448944
NEM2	0.248505169932	0.0	0.364747063418	0.304579604645	0.169229881611	0.177232880158	0.354054590852	0.376280326328	0.212983576667	0.224431950927	0.353430187093	0.331720090332	0.350073201909	0.327564366181	0.333194117166	0.346495570605	0.33852951415	0.192743059045	0.288170449795	0.32030047529	0.348911835924	0.361852718917	0.35431518701	0.325205170381
MB2	0.301210944778	0.364747063418	0.0	0.304298434778	0.340919338536	0.323450777634	0.198031766406	0.147689540636	0.295114429463	0.293572667404	0.204306289753	0.293102375761	0.217567137809	0.334559435255	0.337781696113	0.150147385159	0.228753423177	0.332242268323	0.335112172393	0.280030099413	0.23287001597	0.180635233907	0.228828238478	0.19888402261
NEB1	0.267863619307	0.304579604645	0.304298434778	0.0	0.283112298612	0.304518098592	0.273684139336	0.289462458319	0.279831942086	0.28008200817	0.252281388543	0.132336150734	0.283678453939	0.139027089701	0.15210146444	0.276801916675	0.267153765292	0.308339114039	0.245670700729	0.244434542254	0.297704543131	0.268440722086	0.288935765658	0.248404688236
NEM1	0.202359175025	0.169229881611	0.340919338536	0.283112298612	0.0	0.182350434188	0.308575698613	0.339084052673	0.185227333714	0.195894412299	0.307876692427	0.295661103118	0.326856480921	0.295877603194	0.297367549127	0.312885310157	0.315252418211	0.165712391377	0.257877420532	0.299254931857	0.328516007066	0.317956140913	0.323165312516	0.296803756881
MM1	0.193808044104	0.177232880158	0.323450777634	0.304518098592	0.182350434188	0.0	0.31514258501	0.336035964266	0.159555254487	0.17301583254	0.31175669039	0.34087148187	0.309270585776	0.328668139047	0.32964613323	0.31056123855	0.301266108769	0.157680803675	0.248233224453	0.299487992958	0.311403198587	0.321962594917	0.317877745979	0.284777029222
IB1	0.27558451903	0.354054590852	0.198031766406	0.273684139336	0.308575698613	0.31514258501	0.0	0.176328033443	0.284983846699	0.278892777453	0.145161580641	0.251380690729	0.254312001893	0.294681183131	0.306149452928	0.188696107642	0.26964219317	0.305430288146	0.303625832067	0.271380023642	0.27668641548	0.156663072981	0.292753970365	0.227404971149
IB2	0.301297027933	0.376280326328	0.147689540636	0.289462458319	0.339084052673	0.336035964266	0.176328033443	0.0	0.294837702542	0.300393908303	0.191415194346	0.274420805203	0.236414982332	0.321874855901	0.326713215548	0.150986020164	0.245591539811	0.339321223957	0.343081616545	0.295882927014	0.269920331225	0.175049179726	0.27923368243	0.214607072545
IM2	0.172132461988	0.212983576667	0.295114429463	0.279831942086	0.185227333714	0.159555254487	0.284983846699	0.294837702542	0.0	0.168488691111	0.280652425916	0.311414325729	0.278743800436	0.305533494252	0.310042043092	0.289568770291	0.272108061609	0.180884700128	0.230707286914	0.279461547643	0.290662893739	0.293223810365	0.287211699823	0.26204984429
IM1	0.190771208406	0.224431950927	0.293572667404	0.28008200817	0.195894412299	0.17301583254	0.278892777453	0.300393908303	0.168488691111	0.0	0.279213941753	0.310729287247	0.273162042051	0.296724472502	0.303477631251	0.282604463579	0.269153395849	0.183635479407	0.241899573332	0.263527348629	0.279829288256	0.294591021584	0.284089143131	0.256298647687
NLB2	0.260739765546	0.353430187093	0.204306289753	0.252281388543	0.307876692427	0.31175669039	0.145161580641	0.191415194346	0.280652425916	0.279213941753	0.0	0.22568206601	0.218349116608	0.283747732877	0.28738565371	0.196966550199	0.237852280828	0.297645367225	0.289914516578	0.273037233489	0.262253432843	0.139783554181	0.262358978272	0.193875122292
NEB2	0.290042831185	0.331720090332	0.293102375761	0.132336150734	0.295661103118	0.34087148187	0.251380690729	0.274420805203	0.311414325729	0.310729287247	0.22568206601	0.0	0.288541013708	0.160129751773	0.164706506027	0.259308433765	0.306068152405	0.334480218104	0.259722375887	0.282617233793	0.310133800005	0.245499246839	0.325039148936	0.249164834305
